metric,point,mean,lower_5pct,upper_95pct
macro_auc,0.9240190686689942,0.9234398617627619,0.9171294162764217,0.9300776274151913
fmax,0.7567497328020041,0.7579535978186381,0.7462255496155145,0.7699210469628165
f1_macro,0.7220217311743434,0.7276380936140705,0.7101715732817548,0.7454195977430037
F_beta_macro,0.7926894293306088,0.7923532733582473,0.779739037298041,0.8048217032934871
G_beta_macro,0.7220217311743433,0.7276380936140705,0.710171573281755,0.7454195977430037
macro_auprc,0.8107013905984461,0.8097106945723711,0.7954162192702303,0.8240167376069846
auc_NORM,0.9581879600299928,0.9580033243194325,0.9514559636763448,0.9653758861139548
auc_MI,0.9300895324416932,0.9296251270588634,0.9185860270039912,0.9414417171859677
auc_STTC,0.931132114112515,0.9302755540714652,0.9200659671763418,0.9415002856856352
auc_CD,0.910501515340225,0.9110780077187549,0.8991976289607276,0.9260746602512526
auc_HYP,0.8901842214205452,0.8882172956452936,0.8714766305177201,0.9057309996716498
